Lines,Description
1532,BA: Disc: Contract auth: Antic precl fr ob
1600,BA: Mand: Contract authority
1603,BA: Mand: Contract auth (previously unavailable)
1610,BA: Mand: Contract auth: Trans to other accounts
1611,BA: Mand: Contract auth: Trans from other accounts
1620,BA: Mand: Contract auth: New\Unob bal perm reduced
1621,BA: Mand: Contact authority temporarily reduced
1622,BA: Mand: Contract auth: Precluded from ob (lim)
1630,BA: Mand: Contract auth: Antic nonexpend trans net
1631,BA: Mand: Contract auth: Antic adj to current FY
1632,BA: Mand: Contract auth: Antic precl fr ob
1700,BA Disc:Spending auth: Collected
1701,BA: Change in uncollected customer payments from Fed. Source
1702,BA: Disc: Spending auth: Offsetting Collections (prevoiusly unavailable)
1710,BA: Disc: Spending auth: Trans to other accounts
1711,BA: Disc: Spending auth: Trans from other accounts
1720,BA: Disc: Spending auth: Cap trans to general fund
1721,BA: Disc: Spending auth: Permanently reduced
1722,BA: Disc: Spending auth: Permanently reduced
1723,BA: Disc: Appropriations precluded from obligation
1724,BA: Disc: Appropriations precluded from obligation (HMTF FY23 CR)
1725,BA: Disc: Spending auth: Applied to repay debt
1726,BA: Disc: Spending auth: Applied to liq cont auth
1727,BA: Disc: Spending auth: Applied to liq cont auth
1740,Annual Expenses
1741,BA: Disc: Anticipated NET of auth from offsetting colls
1742,Anticipated capital transfers and redemption of debt
1743,BA: Disc: Spending auth:Antic precl fr ob (lim)
1744,BA: Disc: Spending auth:Antic perm/temp reduced
1800,Actual Non-Federal Collections
1801,Actual federal receivables
1802,"BA: Mand Offsetting Collections, Previously Unavailable"
1810,BA: Mand: Spending auth: Trans to other accounts
1811,BA: Mand: Spending auth: Trans from other accounts
1820,BA: Mand: Spending auth: Cap trans to general fund
1821,BA: Mand: Spending auth: Permanently reduced
1822,BA: Mand: Spending auth: Permanently reduced
1823,BA: Mand: Anticipated appropriation new and/or unobligated balance of spending authority from offset
1824,BA: Mand: Spending auth: Precluded from ob (lim)
1825,BA: Mand: Spending auth: Applied to repay debt
1826,BA: Mand: Spending auth: Applied to liq cont auth
1827,BA: Mand: Spending auth: Subbed for borrowing auth
1840,Anticipated collections federal
1841,BA: Mand: Anticipated nonexpenditure transf of spending auth from off. colls.
1842,BA: Mand: Antic capital transfers and redemption of debt (spending authority from offsetting collect
1843,BA: Mand: Spending auth:Antic precl fr ob (lim)
1844,Anticipated spending auth from offsetting coll permanently or temporarily reduced
1902,Adj for total budgetary res subj to obl limitation
1920,Recoveries of prior year unpaid obligations
6001,1st quarter
6002,2nd quarter
6003,3rd quarter
6004,4th quarter
6011,(5) U.S.C. 8348(a)(1)(B)
6012,250th Anniversary of the Nation's Founding
6013,3rd quarter - Payroll
6014,2008 Contingent Emergency Funds -XE (P.L. 110-161)
6015,50% Reprogramming Budgetary Resources
6016,69-2086-Child Account to support Department of Transportation (FHWA)
6017,2017 Hurricane Supplemental fund - PL 115-123
